19期2026.10-2027.09,,,10月,11月,12月,1月,2月,3月,4月,5月,6月,7月,8月,9月,合計,,,,,,
部門:発展事業部ランクA,案件名,案件,,,,,,,,,,,,,,合計,,,,,
発展事業部ランクA,武蔵野,DX,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,15.720,,,,,,
,武蔵野,マイページ,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,18.960,,,,,,
,武蔵野,外販マイページ,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,7.440,,,,,,
,武蔵野,経理系,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,9.120,,,,,,
,武蔵野,スポット,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,2.280,,,,,,
,CTC,自動販売機ルート・補充計画調整システム構築,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,9.120,,,,,,
,PBR,PBR LENDING保守業務,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,2.160,,,,,,
,マークシティー,マイページ工程管理保守,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.120,,,,,,
,マークシティー,スポット,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.360,,,,,,
,光マーク,マイページ工程管理保守,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.240,,,,,,
,光マーク,スポット,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.996,,,,,,
,千里堂,カルテシステム運用・保守費用,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.804,,,,,,
,INI,JAFナビサイト通常保守,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,1.944,,,,,,
,INI,スポット,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,2.280,,,,,,
,DPS,保守,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.120,,,,,,
,まきの,システム保守,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,1.080,,,,,,
,まきの,スポット,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1.440,,,,,,
,HCC,システム保守,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.720,,,,,,
,王子ゴム,業績のぼるくん運用・保守費用,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.360,,,,,,
,川六,システム保守,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.864,,,,,,
,ひたち農園,チャットワークAPI運用・保守費用,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.060,,,,,,
,グランド商事,サーバ利用料,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.312,,,,,,
,ケミトックス,システム保守、サーバ利用料,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.420,,,,,,
,秀永,支払い代行,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.092,,,,,,
,コンテナ事業,コンテナ利用料,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,1.200,,,,,,
,CSS,CIEDB-EOL対応,7.30,6.30,6.30,2.65,2.65,1.60,0.00,0.00,0.00,0.00,0.00,0.00,26.800,,,,,,
,新規取組,,0.45,1.55,1.55,4.70,4.70,5.80,7.10,7.10,7.10,7.10,7.10,7.10,61.350,,,,,,
,既存ビジネス,,14.27,14.37,14.37,13.87,13.87,13.92,13.62,13.62,13.62,13.62,13.62,13.62,166.362,,,,,,
,白鳥,,1.73,2.62,3.41,3.41,5.44,5.16,3.16,3.16,5.86,5.86,3.38,6.33,49.52,,,,,,
発展事業部ランクA合計,,16.00,16.99,17.78,17.28,19.31,19.08,16.78,16.78,19.48,19.48,17.00,19.95,215.882,,,,,,
